SigAgente;IdeConjUndConsumidoras;DscConjUndConsumidoras;Região
ELEKTRO;13584;SANTA RITA PARDO - BRASILANDIA;Sudeste
ELEKTRO;13585;SANTA RITA PASSA QUATRO;Sudeste
ELEKTRO;13586;SANTO ANTONIO DA POSSE;Sudeste
ELEKTRO;13587;SAO JOAO DA BOA VISTA;Sudeste
ELEKTRO;13588;SILVEIRAS;Sudeste
ELEKTRO;13589;TAMBAU;Sudeste
ELEKTRO;13590;TAQUARUCU;Sudeste
ELEKTRO;13593;TIETE;Sudeste
ELEKTRO;13594;TRES IRMAOS;Sudeste
ELEKTRO;13595;TRES LAGOAS;Sudeste
ELEKTRO;13596;TUPI PAULISTA;Sudeste
ELEKTRO;13597;UBATUBA DOIS;Sudeste
ELEKTRO;13598;UBATUBA UM;Sudeste
ELEKTRO;13599;VARGEM GRANDE DO SUL;Sudeste
ELEKTRO;13600;VICENTE DE CARVALHO;Sudeste
ELEKTRO;13601;VOTUPORANGA;Sudeste
ELEKTRO;13602;ARARAS UM;Sudeste
ELEKTRO;13603;RIO CLARO TRES;Sudeste
ELEKTRO;13604;PIRAPOZINHO;Sudeste
ELEKTRO;13605;NHANDEARA;Sudeste
ELEKTRO;13606;MACAUBAL;Sudeste
ELEKTRO;13607;BERTIOGA UM;Sudeste
ELEKTRO;13608;PAULO DE FARIA;Sudeste
ELEKTRO;15597;ATIBAIA TRÊS;Sudeste
ELEKTRO;15598;ATIBAIA;Sudeste
ELEKTRO;15599;MAIRIPORA;Sudeste
ELEKTRO;15911;BERTIOGA TRES;Sudeste
ELEKTRO;15912;TATUI TRÊS;Sudeste
ELEKTRO;15913;BERTIOGA QUATRO;Sudeste
ELEKTRO;15914;TATUI DOIS;Sudeste
ELEKTRO;15915;TATUI UM;Sudeste
ELEKTRO;15916;BERTIOGA DOIS;Sudeste
ELEKTRO;16607;ITANHAEM UM;Sudeste
ELEKTRO;16608;ITARARE DOIS;Sudeste
ELEKTRO;16609;ITANHAEM TRES;Sudeste
ELEKTRO;16610;PERUIBE;Sudeste
ELEKTRO;16611;LIMEIRA TRES;Sudeste
ELEKTRO;17317;GUARUJA DOIS;Sudeste
ELEKTRO;17318;GUARUJA QUATRO;Sudeste
ELEKTRO;17319;LIMEIRA UM;Sudeste
ELEKTRO;17320;VALENTIM GENTIL;Sudeste
ELEKTRO;17321;VOTUPORANGA UM;Sudeste
ELEKTRO;17322;VOTUPORANGA TRES;Sudeste
ELEKTRO;17323;PEREIRA BARRETO;Sudeste
ELEKTRO;17324;PIRASSUNUNGA;Sudeste
ELEKTRO;17325;LIMEIRA SEIS;Sudeste
ELEKTRO;17326;FRANCO DA ROCHA UM;Sudeste
ELEKTRO;17327;FRANCO DA ROCHA DOIS;Sudeste
ELEKTRO;17328;RIO CLARO DOIS;Sudeste
ELEKTRO;17329;RIO CLARO TRES;Sudeste
ELETROCAR;14435;CARAZINHO;Sul
ELETROCAR;14436;CHAPADA;Sul
ELETROPAULO;12821;ÁGUA BRANCA;Sudeste
ELETROPAULO;12823;ALEX. DE GUSMÃO;Sudeste
ELETROPAULO;12826;ALTO DA BOA VISTA;Sudeste
ELETROPAULO;12830;AMERICANÓPOLIS;Sudeste
ELETROPAULO;12833;ANASTACIO;Sudeste
ELETROPAULO;12835;ANCHIETA;Sudeste
ELETROPAULO;12837;ANHEMBI;Sudeste
ELETROPAULO;12838;AUTONOMISTAS;Sudeste
ELETROPAULO;12839;BANDEIRANTES;Sudeste
ELETROPAULO;12841;BANDEIRANTES_RETICULADO;Sudeste
ELETROPAULO;12843;BARRA FUNDA;Sudeste
ELETROPAULO;12845;BARTIRA;Sudeste
ELETROPAULO;12853;BELA ALIANÇA;Sudeste
ELETROPAULO;12855;BRÁS;Sudeste
ELETROPAULO;12857;BRASILÂNDIA;Sudeste
ELETROPAULO;12862;BUTANTÃ;Sudeste
ELETROPAULO;12866;CAMPESTRE;Sudeste
ELETROPAULO;12868;CANAÃ;Sudeste
ELETROPAULO;12872;CAPELA;Sudeste
ELETROPAULO;12874;CAPUAVA;Sudeste
ELETROPAULO;12877;CARRÃO;Sudeste
ELETROPAULO;12880;CASA VERDE;Sudeste
ELETROPAULO;12882;CASTELO;Sudeste
ELETROPAULO;12883;CATUMBI;Sudeste
ELETROPAULO;12885;CENTRO;Sudeste
ELETROPAULO;12887;CLÁUDIA;Sudeste
ELETROPAULO;12892;COIMBRA;Sudeste
ELETROPAULO;12895;CONGONHAS;Sudeste
ELETROPAULO;12900;CUPECÊ;Sudeste
ELETROPAULO;12902;DIADEMA;Sudeste
ELETROPAULO;12907;EMBU GUAÇU;Sudeste
ELETROPAULO;12909;GOMES CARDIM;Sudeste
ELETROPAULO;12911;GRANJA JULIETA;Sudeste
ELETROPAULO;12912;GUAIANAZES;Sudeste
ELETROPAULO;12913;GUARAPIRANGA;Sudeste
ELETROPAULO;12915;HIPÓDROMO;Sudeste
ELETROPAULO;12916;IBIRAPUERA;Sudeste
ELETROPAULO;12922;ITAQUERA;Sudeste
ELETROPAULO;12926;JOÃO CLÍMACO;Sudeste
ELETROPAULO;12927;JORDANÉSIA;Sudeste
ELETROPAULO;12928;JUQUITIBA;Sudeste
ELETROPAULO;12929;LAPA;Sudeste
ELETROPAULO;12930;LEOPOLDINA;Sudeste
ELETROPAULO;12934;MATEUS;Sudeste
ELETROPAULO;12936;MENINOS;Sudeste
ELETROPAULO;12945;MOOCA;Sudeste
ELETROPAULO;12946;MORUMBI;Sudeste
ELETROPAULO;12947;NAÇÕES;Sudeste
ELETROPAULO;12948;NOVO MUNDO;Sudeste
ELETROPAULO;12950;OSASCO;Sudeste
ELETROPAULO;12951;PAINEIRAS;Sudeste
ELETROPAULO;12952;PARELHEIROS;Sudeste
ELETROPAULO;12954;PARQUE SÃO DOMINGOS;Sudeste
ELETROPAULO;12956;PENHA NOVA;Sudeste
ELETROPAULO;12957;PERI;Sudeste
ELETROPAULO;12958;PINHEIROS;Sudeste
ELETROPAULO;12959;PIRAPORINHA;Sudeste
ELETROPAULO;12960;PIRITUBA;Sudeste
ELETROPAULO;12964;REMÉDIOS;Sudeste
ELETROPAULO;12966;RIBEIRÃO PIRES;Sudeste
ELETROPAULO;12967;RIO BONITO;Sudeste
ELETROPAULO;12968;RIO GRANDE;Sudeste
ELETROPAULO;12969;SABARÁ;Sudeste
ELETROPAULO;12971;SANTA MARIA;Sudeste
ELETROPAULO;12973;SANTO ANDRÉ;Sudeste
ELETROPAULO;12975;SAÚDE;Sudeste
ELETROPAULO;12976;SILVESTRE;Sudeste
ELETROPAULO;12977;SUMARÉ;Sudeste
ELETROPAULO;12981;TAMOIO;Sudeste
ELETROPAULO;12982;TENENTE MARQUES;Sudeste
ELETROPAULO;12983;TIRADENTES;Sudeste
ELETROPAULO;12986;TUIUTI;Sudeste
ELETROPAULO;12987;UTINGA;Sudeste
ELETROPAULO;12991;VILA EMA;Sudeste
ELETROPAULO;12993;VILA GUILHERME;Sudeste
ELETROPAULO;12995;VILA PAULA;Sudeste
ELETROPAULO;12996;VILA PAULICÉIA;Sudeste
ELETROPAULO;12997;VILA PROSPERIDADE;Sudeste
ELETROPAULO;12999;VILA TALARICO;Sudeste
ELETROPAULO;13000;VITÓRIA;Sudeste
ELETROPAULO;15813;JUSCELINO KUBITSCHEK;Sudeste
ELETROPAULO;15814;JAGUARÉ;Sudeste
ELETROPAULO;15815;GERMÂNIA;Sudeste
ELETROPAULO;15816;ESPLANADA;Sudeste
ELETROPAULO;15817;ERMELINO MATARAZZO;Sudeste
ELETROPAULO;15818;VILA FORMOSA;Sudeste
ELETROPAULO;15819;VILA ALMEIDA;Sudeste
ELETROPAULO;15821;TAIPAS;Sudeste
ELETROPAULO;15822;TABOÃO DA SERRA;Sudeste
ELETROPAULO;15823;SANTO AMARO;Sudeste
ELETROPAULO;15824;ORATÓRIO;Sudeste
ELETROPAULO;15826;MONTE SANTO;Sudeste
ELETROPAULO;15827;MONTE AZUL;Sudeste
ELETROPAULO;15828;MONÇÕES;Sudeste
ELETROPAULO;15829;MIGUEL PAULISTA;Sudeste
ELETROPAULO;15830;MANDAQUI;Sudeste
ELETROPAULO;15831;LUBECA;Sudeste
ELETROPAULO;15832;LIMÃO;Sudeste
ELETROPAULO;15833;ITAQUERUNA;Sudeste
ELETROPAULO;15834;ITAPECERICA DA SERRA;Sudeste
ELETROPAULO;15835;ITAIM;Sudeste
ELETROPAULO;15836;GATO PRETO;Sudeste
ELETROPAULO;15837;EMBU;Sudeste
ELETROPAULO;15838;CONTINENTAL;Sudeste
ELETROPAULO;15839;COMANDANTE TAYLOR;Sudeste
ELETROPAULO;15841;BUENOS AIRES;Sudeste
ELETROPAULO;15842;BAVIERA;Sudeste
ELETROPAULO;16571;ALVARENGA;Sudeste
ELETROPAULO;16572;BARUERI;Sudeste
ELETROPAULO;16573;BRIGADEIRO;Sudeste
ELETROPAULO;16574;CAMBUCI;Sudeste
ELETROPAULO;16575;CANINDÉ;Sudeste
ELETROPAULO;16576;CARAPICUIBA;Sudeste
ELETROPAULO;16577;CLEMENTINO;Sudeste
ELETROPAULO;16578;COTIA;Sudeste
ELETROPAULO;16579;GUMERCINDO;Sudeste
ELETROPAULO;16580;ITAPEVI;Sudeste
ELETROPAULO;16581;JANDIRA;Sudeste
ELETROPAULO;16582;JD. DA GLÓRIA;Sudeste
ELETROPAULO;16583;MAUÁ;Sudeste
ELETROPAULO;16584;MIGUEL REALE_RETICULADO;Sudeste
ELETROPAULO;16585;MONTE BELO;Sudeste
ELETROPAULO;16586;MONUMENTO;Sudeste
ELETROPAULO;16587;PARNAÍBA;Sudeste
ELETROPAULO;16588;PLANALTO PAULISTA;Sudeste
ELETROPAULO;16589;SACOMÃ;Sudeste
ELETROPAULO;16590;TAMBORÉ;Sudeste
ELETROPAULO;16591;TUCURUVI;Sudeste
ELETROPAULO;16592;VARGEM GRANDE;Sudeste
ELETROPAULO;16593;VARGINHA;Sudeste
ELETROPAULO;16594;VILA MEDEIROS;Sudeste
ELETROPAULO;16595;ALPHAVILLE;Sudeste
ELETROPAULO;16596;AUGUSTA;Sudeste
ELETROPAULO;16597;BATISTINI;Sudeste
ELETROPAULO;16598;CAUCAIA;Sudeste
ELETROPAULO;16599;GRANJA VIANA;Sudeste
ELETROPAULO;16600;JAÇANÃ;Sudeste
ELETROPAULO;16601;PARQUE DOS LAGOS;Sudeste
ELETROPAULO;16602;RAPOSO TAVARES;Sudeste
ELETROPAULO;16603;ROSELÂNDIA;Sudeste
ELETROPAULO;16604;VILA MARIANA;Sudeste
ELETROPAULO;16605;SÃO BERNARDO DO CAMPO;Sudeste
ELETROPAULO;16606;SERTÃOZINHO;Sudeste
ELETROPAULO;17111;NOVO BANDEIRANTES;Sudeste
ELETROPAULO;17112;CAMBUCI;Sudeste
ELFSM;15369;Colatina;Sul
ELFSM;15370;Sao Silvano;Sul
ELFSM;15371;Angelo Frechiani;Sul
ELFSM;15372;Sao Roque;Sul
ELFSM;15373;Sao Gabriel;Sul
EMR;13745;ALÉM PARAÍBA;Sul
EMR;13746;SUMIDOURO;Sul
EMR;13747;SÃO MIGUEL DO ANTA;Sul
EMR;13748;NOVA USINA MAURÍCIO;Sul
EMR;13749;ASTOLFO DUTRA;Sul
EMR;13750;CACHOEIRA DA NEBLINA;Sul
EMR;13751;CATAGUASES 1;Sul
EMR;13753;COIMBRA;Sul
EMR;13755;ERVÁLIA;Sul
EMR;13756;EUGENÓPOLIS;Sul
EMR;13757;GUIRICEMA;Sul
EMR;13758;LARANJAL;Sul
EMR;13759;LEOPOLDINA;Sul
EMR;13760;MANHUAÇÚ;Sul
EMR;13761;MANHUMIRIM;Sul
EMR;13762;MATIPÓ;Sul
EMR;13763;MURIAÉ 1;Sul
EMR;13764;MURIAÉ 2;Sul
EMR;13765;PADRE FIALHO;Sul
EMR;13766;PIRAPETINGA;Sul
EMR;13767;REALEZA;Sul
EMR;13768;RECREIO;Sul
EMR;13769;RIO NOVO;Sul
EMR;13770;RIO POMBA;Sul
EMR;13771;RODEIRO;Sul
EMR;13772;SANTA MARGARIDA;Sul
EMR;13773;SANTANA DO MANHUAÇÚ;Sul
EMR;13774;SÃO JOÃO NEPOMUCENO;Sul
EMR;13775;TOCANTINS;Sul
EMR;13778;USINA CORONEL DOMICIANO;Sul
EMR;13779;USINA DO GLÓRIA;Sul
EMR;13780;VISCONDE DO RIO BRANCO 1;Sul
EMR;13781;VISCONDE DO RIO BRANCO 2;Sul
EMR;15612;Cataguases 2;Sul
EMR;15613;Miraí;Sul
EMR;16099;DIVINÉSIA;Sul
EMR;16100;UBÁ 1;Sul
EMR;16101;UBÁ 2;Sul
EMR;16102;UBÁ 3;Sul
EMR;16829;Manhuaçu 1;Sul
EMR;16830;Manhuaçu 2;Sul
EMR;16831;Santana do Manhuaçu;Sul
EMR;16832;Matipó;Sul
EMR;16833;Padre Fialho;Sul
EMR;16931;CONQUISTA;Sul
EMR;16932;TADEU AOR;Sul
EMR;16933;JULIUS ARP JR.;Sul
EMR;16934;Conselheiro Paulino;Sul
EMR;16935;Centenario;Sul
EMS;12785;ÁGUA CLARA;Sudeste
EMS;12786;AMAMBAI;Sudeste
EMS;12788;APARECIDA DO TABOADO;Sudeste
EMS;12791;AQUIDAUANA;Sudeste
EMS;12798;BATAGUASSÚ;Sudeste
EMS;12800;BONITO;Sudeste
EMS;12803;BONITO CEDERB;Sudeste
EMS;12805;CAARAPÓ;Sudeste
EMS;12807;CAMAPUÃ;Sudeste
EMS;12811;CAMPO GRANDE ALMOXARIFADO;Sudeste
EMS;12813;CAMPO GRANDE ASSIS SCAFFA;Sudeste
EMS;12819;CAMPO GRANDE INDUSTRIAL;Sudeste
EMS;12822;CAMPO GRANDE LAGEADO;Sudeste
EMS;12824;CAMPO GRANDE MIGUEL COUTO;Sudeste
EMS;12825;CASSILÂNDIA;Sudeste
EMS;12827;CHAPADÃO DO SUL;Sudeste
EMS;12829;CORUMBÁ;Sudeste
EMS;12831;CORUMBÁ PANTANAL;Sudeste
EMS;12832;COSTA RICA;Sudeste
EMS;12834;COXIM;Sudeste
EMS;12836;CRUZALTINA;Sudeste
EMS;12840;DEODÁPOLIS;Sudeste
EMS;12847;ELDORADO;Sudeste
EMS;12849;FÁTIMA DO SUL;Sudeste
EMS;12850;FAZENDA ITAMARATÍ;Sudeste
EMS;12852;GLÓRIA DE DOURADOS;Sudeste
EMS;12854;IGUATEMI;Sudeste
EMS;12856;IVINHEMA;Sudeste
EMS;12860;MARACAJÚ;Sudeste
EMS;12863;MIMOSO;Sudeste
EMS;12865;MIRANDA;Sudeste
EMS;12867;MIRANDA DUQUE ESTRADA;Sudeste
EMS;12869;NAVIRAÍ;Sudeste
EMS;12871;NOVA AMÉRICA;Sudeste
EMS;12873;NOVA ANDRADINA;Sudeste
EMS;12875;NOVA ANDRADINA CASA VERDE;Sudeste
EMS;12878;PARANAÍBA;Sudeste
EMS;12879;PONTA PORÃ ESTORIL;Sudeste
EMS;12881;PORTO MURTINHO;Sudeste
EMS;12884;POSTO OVÍDEO;Sudeste
EMS;12886;RIBAS DO RIO PARDO;Sudeste
EMS;12888;RIO BRILHANTE;Sudeste
EMS;12889;RIO BRILHANTE RURAL;Sudeste
EMS;12891;RIO NEGRO;Sudeste
EMS;12894;RIO VERDE;Sudeste
EMS;12896;ROCHEDO;Sudeste
EMS;12898;SÃO GABRIEL D´OESTE;Sudeste
EMS;12901;SIDROLÂNDIA;Sudeste
EMS;12903;SONORA;Sudeste
EMS;12905;TERENOS;Sudeste
EMS;15627;ALTO CARACOL;Sudeste
EMS;15628;DOURADOS INDUSTRIAL;Sudeste
EMS;15629;DOURADOS ALVORADA;Sudeste
EMS;15630;DOURADOS DAS NAÇÕES;Sudeste
EMS;15631;DOURADOS MAXWELL;Sudeste
EMS;15632;JARDIM;Sudeste
EMS;16404;CAMPO GRANDE CENTRO;Sudeste
EMS;16405;CAMPO GRANDE CUIABA;Sudeste
EMS;16406;CAMPO GRANDE JOSE ABRAO;Sudeste
EMS;16407;CAMPO GRANDE TAMANDARE;Sudeste
EMS;16974;Campo Grande Cuiaba;Sudeste
EMS;16975;Rochedo;Sudeste
EMS;16976;Campo Grande Progresso;Sudeste
EMS;16977;Campo Grande Assis Scaffa;Sudeste
EMS;16978;Campo Grande Almoxarifado;Sudeste
EMS;16979;Campo Grande Miguel Couto;Sudeste
EMS;16980;Campo Grande Lageado;Sudeste
EMT;14769;JUARA_34,5kV;Centro-Oeste
EMT;14771;ALTA FLORESTA;Centro-Oeste
EMT;14773;ALTO BOA VISTA II_34,5;Centro-Oeste
EMT;14774;ARAPUTANGA;Centro-Oeste
EMT;14777;BARRA DO BUGRES;Centro-Oeste
EMT;14778;BARRA DO GARCAS;Centro-Oeste
EMT;14779;BARRA DO GARCAS_34,5kV;Centro-Oeste
EMT;14780;BARRA DO PEIXE - SAO DOMINGOS;Centro-Oeste
EMT;14783;BRASNORTE;Centro-Oeste
EMT;14784;CACERES;Centro-Oeste
EMT;14785;CACERES_34,5kV;Centro-Oeste
EMT;14786;CAMPO NOVO PARECIS - NOVA;Centro-Oeste
EMT;14788;CANARANA;Centro-Oeste
EMT;14793;CLAUDIA;Centro-Oeste
EMT;14794;COLIDER;Centro-Oeste
EMT;14795;COMODORO;Centro-Oeste
EMT;14796;CONFRESA;Centro-Oeste
EMT;14797;VILA RICA_NOVA_34,5kV;Centro-Oeste
EMT;14798;VILA RICA_NOVA;Centro-Oeste
EMT;14799;VARZEA GRANDE_34,5kV;Centro-Oeste
EMT;14800;VARZEA GRANDE;Centro-Oeste
EMT;14801;UT_SAO JOSE RIO CLARO_34,5kV;Centro-Oeste
EMT;14802;UT_SAO JOSE RIO CLARO;Centro-Oeste
EMT;14803;TREVO_DO_LAGARTO_34,5KV;Centro-Oeste
EMT;14804;TREVO_DO_LAGARTO;Centro-Oeste
EMT;14805;TERRA NOVA DO NORTE;Centro-Oeste
EMT;14806;TANGARA DA SERRA;Centro-Oeste
EMT;14809;SORRISO;Centro-Oeste
EMT;14810;SINOP_CENTRO;Centro-Oeste
EMT;14812;SAPEZAL_34,5kV;Centro-Oeste
EMT;14813;SAPEZAL;Centro-Oeste
EMT;14814;SANTA CARMEM;Centro-Oeste
EMT;14815;RONDONOPOLIS 1_34,5kV;Centro-Oeste
EMT;14816;RONDONOPOLIS 1;Centro-Oeste
EMT;14817;RONDONOPOLIS  CENTRO;Centro-Oeste
EMT;14818;RODOVIARIA;Centro-Oeste
EMT;14819;QURENCIA DO NORTE;Centro-Oeste
EMT;14820;QUATRO MARCOS_34,5kV;Centro-Oeste
EMT;14821;QUATRO MARCOS;Centro-Oeste
EMT;14823;PRIMAVERA DO LESTE;Centro-Oeste
EMT;14824;PONTES E LACERDA_34,5kV;Centro-Oeste
EMT;14825;PONTES E LACERDA;Centro-Oeste
EMT;14826;POCONE;Centro-Oeste
EMT;14827;PCH_PARANATINGA II;Centro-Oeste
EMT;14828;NOVA XAVANTINA_34,5kV;Centro-Oeste
EMT;14829;NOVA XAVANTINA;Centro-Oeste
EMT;14830;NOVA OLIMPIA;Centro-Oeste
EMT;14831;NOVA MUTUM;Centro-Oeste
EMT;14833;NOVA CANAA;Centro-Oeste
EMT;14834;NORTELANDIA;Centro-Oeste
EMT;14835;NOBRES;Centro-Oeste
EMT;14836;MINERADORA;Centro-Oeste
EMT;14837;MATUPA;Centro-Oeste
EMT;14839;LUCAS DO RIO VERDE;Centro-Oeste
EMT;14840;JUINA_34,5kV;Centro-Oeste
EMT;14841;JUINA;Centro-Oeste
EMT;14842;JUARA;Centro-Oeste
EMT;14843;JACIARA_34,5kV;Centro-Oeste
EMT;14844;JACIARA;Centro-Oeste
EMT;14845;CONFRESA_34,5kV;Centro-Oeste
EMT;14847;COXIPO;Centro-Oeste
EMT;14848;CPA;Centro-Oeste
EMT;14850;ITANORTE;Centro-Oeste
EMT;14851;DIAMANTINO;Centro-Oeste
EMT;14852;DISTRITO CUIABA;Centro-Oeste
EMT;14853;FERRONORTE;Centro-Oeste
EMT;14854;GUARANTA;Centro-Oeste
EMT;15633;PRIMAVERA DO LESTE_34,5kV;Centro-Oeste
EMT;15636;CAMPO VERDE;Centro-Oeste
EMT;15638;ALTA FLORESTA_34,5kV;Centro-Oeste
EMT;15639;PARANAITA;Centro-Oeste
EMT;16408;AGUA BOA;Centro-Oeste
EMT;16409;ARIPUANA;Centro-Oeste
EMT;16410;BARRO DURO;Centro-Oeste
EMT;16411;BEIRA RIO;Centro-Oeste
EMT;16412;CAMPO VERDE 34,5KV;Centro-Oeste
EMT;16413;CHAPADA;Centro-Oeste
EMT;16414;CHAPADA_34,5KV;Centro-Oeste
EMT;16415;CIDADE ALTA;Centro-Oeste
EMT;16416;CIDADE ALTA_34,5KV;Centro-Oeste
EMT;16417;COUTO MAGALHAES;Centro-Oeste
EMT;16418;CRISTO REI;Centro-Oeste
EMT;16419;GUARIBA;Centro-Oeste
EMT;16420;JANGADA;Centro-Oeste
EMT;16421;LUCAS DO RIO VERDE_34,5KV;Centro-Oeste
EMT;16422;NOVA MONTE VERDE;Centro-Oeste
EMT;16423;PARANATINGA;Centro-Oeste
EMT;16424;RONDOLANDIA;Centro-Oeste
EMT;16425;SOZINHO;Centro-Oeste
EMT;16426;TAPURAH;Centro-Oeste
EMT;16465;IPIRANGA DO NORTE;Centro-Oeste
EMT;16466;SINOP;Centro-Oeste
EMT;16467;SORRISO-TERCEARIO ELN;Centro-Oeste
EMT;16468;BOA ESPERANCA;Centro-Oeste
EMT;16995;QUATRO MARCOS;Centro-Oeste
EMT;16996;JANGADA;Centro-Oeste
EMT;16997;MIRASSOL D'OESTE;Centro-Oeste
EMT;16998;POCONE;Centro-Oeste
EMT;16999;JUARA;Centro-Oeste
EMT;17000;NOVA MONTE VERDE;Centro-Oeste
EMT;17001;RONDONOPOLIS 1_34,5KV;Centro-Oeste
EMT;17002;CANGAS;Centro-Oeste
EMT;17003;ALTO BOA VISTA II_34,5;Centro-Oeste
EMT;17004;CONFRESA_34,5KV;Centro-Oeste
EMT;17005;LUCAS DO RIO VERDE;Centro-Oeste
EMT;17006;JURUENA;Centro-Oeste
EMT;17007;ARIPUANA;Centro-Oeste
EMT;17008;VILA RICA;Centro-Oeste
ENEL CE;13232;ACARAÚ;Nordeste
ENEL CE;13234;ACOPIARA;Nordeste
ENEL CE;13235;VIÇOSA DO CEARÁ;Nordeste
ENEL CE;13236;AGUA FRIA;Nordeste
ENEL CE;13238;AMONTADA;Nordeste
ENEL CE;13239;ANTONINA DO NORTE;Nordeste
ENEL CE;13240;APUIARÉS;Nordeste
ENEL CE;13242;ARACATI;Nordeste
ENEL CE;13244;ARARIPE;Nordeste
ENEL CE;13245;BAIXO ACARAÚ II;Nordeste
ENEL CE;13246;BALANÇO;Nordeste
ENEL CE;13247;BANABUIÚ;Nordeste
ENEL CE;13248;BARBALHA;Nordeste
ENEL CE;13249;BARRA DO CEARÁ;Nordeste
ENEL CE;13250;BARRA DO FIGUEREDO;Nordeste
ENEL CE;13251;BATURITÉ;Nordeste
ENEL CE;13252;BEBERIBE;Nordeste
ENEL CE;13253;BOA VIAGEM;Nordeste
ENEL CE;13254;BOM JARDIM;Nordeste
ENEL CE;13255;BONSUCESSO;Nordeste
ENEL CE;13256;BREJO SANTO;Nordeste
ENEL CE;13257;CAMOCIM;Nordeste
ENEL CE;13258;CAMPOS SALES;Nordeste
ENEL CE;13260;CARACARÁ;Nordeste
ENEL CE;13261;CARIRÉ;Nordeste
ENEL CE;13262;CASCAVEL;Nordeste
ENEL CE;13263;CAUCAIA;Nordeste
ENEL CE;13264;CEDRO;Nordeste
ENEL CE;13270;CRATEÚS;Nordeste
ENEL CE;13273;CRATO;Nordeste
ENEL CE;13275;CRUZ;Nordeste
ENEL CE;13276;DIAS MACEDO;Nordeste
ENEL CE;13280;DISTRITO INDUSTRIAL DE FORTALEZA;Nordeste
ENEL CE;13282;DISTRITO INDUSTRIAL II;Nordeste
ENEL CE;13285;GRANJA;Nordeste
ENEL CE;13286;GUARAMIRANGA;Nordeste
ENEL CE;13288;ICAPUÍ;Nordeste
ENEL CE;13291;ICÓ;Nordeste
ENEL CE;13297;INDEPENDÊNCIA;Nordeste
ENEL CE;13302;INHUPORANGA;Nordeste
ENEL CE;13304;ITAIÇABA;Nordeste
ENEL CE;13305;ITAPAJÉ;Nordeste
ENEL CE;13308;ITAPIPOCA;Nordeste
ENEL CE;13312;JAGUARIBE;Nordeste
ENEL CE;13315;JAGUARUANA;Nordeste
ENEL CE;13317;JUREMA;Nordeste
ENEL CE;13319;LAVRAS DA MANGABEIRA;Nordeste
ENEL CE;13322;LIMOEIRO DO NORTE;Nordeste
ENEL CE;13328;MARCO;Nordeste
ENEL CE;13330;MASSAPÊ;Nordeste
ENEL CE;13332;MAURITI;Nordeste
ENEL CE;13334;MESSEJANA;Nordeste
ENEL CE;13336;MILAGRES;Nordeste
ENEL CE;13339;MONDUBIM;Nordeste
ENEL CE;13340;MONSENHOR TABOSA;Nordeste
ENEL CE;13343;MORADA NOVA;Nordeste
ENEL CE;13346;MUCURIPE;Nordeste
ENEL CE;13348;NOVA OLINDA;Nordeste
ENEL CE;13353;ORÓS;Nordeste
ENEL CE;13355;PACAJUS;Nordeste
ENEL CE;13356;PAPICU;Nordeste
ENEL CE;13358;PARAIPABA;Nordeste
ENEL CE;13360;PARANGABA;Nordeste
ENEL CE;13363;PECÉM;Nordeste
ENEL CE;13365;PICI;Nordeste
ENEL CE;13367;PRESIDENTE KENNEDY;Nordeste
ENEL CE;13369;QUIXADÁ;Nordeste
ENEL CE;13374;RUSSAS I;Nordeste
ENEL CE;13375;SÃO LUIS DO CURU;Nordeste
ENEL CE;13382;SOLONÓPOLIS;Nordeste
ENEL CE;13385;TAUAPE;Nordeste
ENEL CE;13387;TIANGUÁ;Nordeste
ENEL CE;13389;TOMÉ;Nordeste
ENEL CE;13390;TRAIRI;Nordeste
ENEL CE;13392;UMARITUBA;Nordeste
ENEL CE;13394;UMIRIM;Nordeste
ENEL CE;13397;VARJOTA;Nordeste
ENEL CE;13399;VÁRZEA ALEGRE;Nordeste
ENEL CE;15500;IBIAPINA;Nordeste
ENEL CE;15501;PARAMBU;Nordeste
ENEL CE;15502;TAUÁ;Nordeste
ENEL CE;15503;COREAÚ;Nordeste
ENEL CE;15504;INHUÇU;Nordeste
ENEL CE;15537;MUCAMBO;Nordeste
ENEL CE;15844;SANTA QUITÉRIA;Nordeste
ENEL CE;15845;ALDEOTA;Nordeste
ENEL CE;15846;MAGUARY;Nordeste
ENEL CE;15847;CENTRO;Nordeste
ENEL CE;15848;JUCÁS;Nordeste
ENEL CE;15849;IGUATU;Nordeste
ENEL CE;15850;SENADOR POMPEU;Nordeste
ENEL CE;15851;PEDRA BRANCA;Nordeste
ENEL CE;15852;MOMBAÇA;Nordeste
ENEL CE;15853;AQUIRAZ;Nordeste
ENEL CE;15854;JABUTI;Nordeste
ENEL CE;15855;CANINDÉ;Nordeste
ENEL CE;15856;QUIXERAMOBIM;Nordeste
ENEL CE;15857;MACAOCA;Nordeste
ENEL CE;15858;EUSÉBIO;Nordeste
ENEL CE;16557;IPU;Nordeste
ENEL CE;16558;JUAZEIRO DO NORTE II;Nordeste
ENEL CE;16559;SOBRAL IV;Nordeste
ENEL CE;16560;ARARENDA;Nordeste
ENEL CE;16561;SOBRAL V;Nordeste
ENEL CE;16562;HORIZONTE;Nordeste
ENEL CE;16563;GUAIUBA;Nordeste
ENEL CE;16564;ARARAS I;Nordeste
ENEL CE;16565;JUAZEIRO DO NORTE;Nordeste
ENEL CE;16566;SOBRAL I;Nordeste
ENEL CE;16567;MARANGUAPE;Nordeste
